repo_name,pac_tool,iac_tool
Azure/AzureDefender-K8S-InClusterDefense,azure,Azure RM
Azure/AzureDefender-K8S-InClusterDefense,opa,Kubernetes
Azure/AzureDefender-K8S-InClusterDefense,opa,Azure RM
Azure/AzureDefender-K8S-InClusterDefense,gatekeeper,Kubernetes
Azure/AzureDefender-K8S-InClusterDefense,gatekeeper,Azure RM
Azure/AzureMonitorStarterPacks,azure,Bicep
Azure/AzureMonitorStarterPacks,azure,Azure RM
Azure/CanadaPubSecALZ,azure,Bicep
Azure/CanadaPubSecALZ,azure,Azure RM
Azure/Community-Policy,azure,Azure RM
Azure/Community-Policy,azure,Kubernetes
Azure/Community-Policy,opa,Azure RM
Azure/Community-Policy,opa,Kubernetes
Azure/Community-Policy,gatekeeper,Azure RM
Azure/Community-Policy,gatekeeper,Kubernetes
Azure/Enterprise-Scale,azure,Azure RM
Azure/Enterprise-Scale,azure,Bicep
Azure/Microsoft-Defender-for-Cloud,azure,Cloudformation
Azure/Microsoft-Defender-for-Cloud,azure,Azure RM
Azure/Microsoft-Defender-for-Cloud,azure,Kubernetes
Azure/Microsoft-Defender-for-Cloud,azure,Terraform
Azure/ShieldGuard,opa,Kubernetes
Azure/aca-landing-zone-accelerator,azure,Azure RM
Azure/aca-landing-zone-accelerator,azure,Bicep
Azure/aca-landing-zone-accelerator,azure,Terraform
Azure/ai-hub,azure,Azure RM
Azure/ai-hub,azure,Terraform
Azure/aks-app-routing-operator,gatekeeper,Kubernetes
Azure/aks-app-routing-operator,gatekeeper,Terraform
Azure/avdaccelerator,azure,Bicep
Azure/avdaccelerator,azure,Azure RM
Azure/avdaccelerator,azure,Terraform
Azure/avdaccelerator,azure,Packer
Azure/azure-blueprints,azure,Azure RM
Azure/azure-monitor-baseline-alerts,azure,Azure RM
Azure/azure-monitor-baseline-alerts,azure,Bicep
Azure/azure-policy,azure,Azure RM
Azure/azure-policy,azure,Kubernetes
Azure/azure-policy,opa,Azure RM
Azure/azure-policy,opa,Kubernetes
Azure/azure-policy,gatekeeper,Azure RM
Azure/azure-policy,gatekeeper,Kubernetes
Azure/azure-powershell,azure,Kubernetes
Azure/azure-powershell,azure,Azure RM
Azure/azure-powershell,azure,Bicep
Azure/bicep,azure,Bicep
Azure/bicep,azure,Azure RM
Azure/bicep,azure,Kubernetes
Azure/bicep-registry-modules,azure,Bicep
Azure/bicep-registry-modules,azure,Azure RM
Azure/bicep-registry-modules,azure,Kubernetes
Azure/draft,gatekeeper,Kubernetes
Azure/enterprise-azure-policy-as-code,azure,Azure RM
Azure/terraform-azurerm-caf-enterprise-scale,azure,Terraform
Azure/terraform-azurerm-caf-enterprise-scale,azure,Azure RM
BeryJu/k8s,kyverno,Kubernetes
BigKAA/youtube,kyverno,Kubernetes
BigKAA/youtube,kyverno,Ansible
BigKAA/youtube,kyverno,Vagrant
BrunoReboul/terraform-google-realtime-asset-monitor,opa,Terraform
Checkmarx/kics,opa,Ansible
Checkmarx/kics,opa,Bicep
Checkmarx/kics,opa,Cloudformation
Checkmarx/kics,opa,Kubernetes
Checkmarx/kics,opa,Terraform
Checkmarx/kics,opa,Pulumi
CiscoDevNet/sdwan-devops,opa,Ansible
CloudNativeGBB/cluster-baseline,opa,Kubernetes
CloudNativeGBB/cluster-baseline,opa,Terraform
Cray-HPE/cray-opa-gatekeeper,opa,Kubernetes
Cray-HPE/cray-opa-gatekeeper,gatekeeper,Kubernetes
DaoCloud/dce-charts-repackage,opa,Kubernetes
Devopsmcpatral/Devops,hashicorp-sentinel,Kubernetes
Devopsmcpatral/Devops,hashicorp-sentinel,Packer
Devopsmcpatral/Devops,hashicorp-sentinel,Ansible
Devopsmcpatral/Devops,hashicorp-sentinel,Terraform
DiamondLightSource/authz,opa,Kubernetes
DiamondLightSource/workflows,kyverno,Kubernetes
DoD-Platform-One/Gatekeeper,gatekeeper,Kubernetes
DoD-Platform-One/Kyverno-Policies,kyverno,Kubernetes
DoD-Platform-One/gitlab-runner,kyverno,Kubernetes
EnterpriseDB/edb-terraform,cloud-custodian,Terraform
FairwindsOps/charts,opa,Kubernetes
FalkWinkler/k3s-gitops,kyverno,Ansible
FalkWinkler/k3s-gitops,kyverno,Kubernetes
FalkWinkler/k3s-gitops,kyverno,Terraform
FlorisFeddema/homelab,kyverno,Bicep
FlorisFeddema/homelab,kyverno,Kubernetes
GSA/grace-cloudcustodian,cloud-custodian,Terraform
Geeks-Academy/terraform,hashicorp-sentinel,Terraform
GersonRS/modern-gitops-stack-module-metallb,opa,Kubernetes
GersonRS/modern-gitops-stack-module-metallb,opa,Terraform
GoogleCloudPlatform/anthos-appconfig,gatekeeper,Kubernetes
GoogleCloudPlatform/anthos-appconfig,gatekeeper,Terraform
GoogleCloudPlatform/blueprints,gatekeeper,Kubernetes
GoogleCloudPlatform/cloud-foundation-toolkit,opa,Kubernetes
GoogleCloudPlatform/cloud-foundation-toolkit,opa,Terraform
GoogleCloudPlatform/cloud-foundation-toolkit,gatekeeper,Kubernetes
GoogleCloudPlatform/cloud-foundation-toolkit,gatekeeper,Terraform
GoogleCloudPlatform/federated-learning,gatekeeper,Kubernetes
GoogleCloudPlatform/federated-learning,gatekeeper,Terraform
GoogleCloudPlatform/gcp-getting-started-lab-jp,gatekeeper,Kubernetes
GoogleCloudPlatform/gcp-getting-started-lab-jp,gatekeeper,Terraform
GoogleCloudPlatform/gke-policy-library,gatekeeper,Kubernetes
GoogleCloudPlatform/notebooks-blueprint-security,gatekeeper,Terraform
GoogleCloudPlatform/notebooks-blueprint-security,gatekeeper,Kubernetes
GoogleCloudPlatform/policy-library,opa,Kubernetes
GoogleCloudPlatform/policy-library,gatekeeper,Kubernetes
GoogleCloudPlatform/professional-services,opa,Terraform
GoogleCloudPlatform/professional-services,opa,Kubernetes
GoogleCloudPlatform/professional-services,opa,Ansible
GoogleCloudPlatform/professional-services,opa,Cloudformation
GoogleCloudPlatform/professional-services,gatekeeper,Terraform
GoogleCloudPlatform/professional-services,gatekeeper,Kubernetes
GoogleCloudPlatform/professional-services,gatekeeper,Ansible
GoogleCloudPlatform/professional-services,gatekeeper,Cloudformation
GoogleCloudPlatform/pubsec-declarative-toolkit,gatekeeper,Kubernetes
GoogleCloudPlatform/solution-acceleration-toolkit,gatekeeper,Kubernetes
GoogleCloudPlatform/solution-acceleration-toolkit,gatekeeper,Terraform
GoogleCloudPlatform/terraform-google-enterprise-genai,gatekeeper,Terraform
GoogleCloudPlatform/terraform-google-enterprise-genai,gatekeeper,Kubernetes
